timestamp,open,high,low,close,volume
2019-12-27,49.1200,49.4850,49.0000,49.4600,831680
2019-12-26,49.2400,49.3500,48.9050,49.0200,1932106
2019-12-24,49.1900,49.4000,49.0300,49.2300,420566
2019-12-23,49.3800,49.4400,48.9200,49.1100,1127860
2019-12-20,48.4100,49.2600,48.2200,49.1700,6267955
2019-12-19,48.4900,48.7600,48.0550,48.2200,2323809
2019-12-18,48.1500,48.3100,48.0300,48.2200,1703258
2019-12-17,47.8500,48.1650,47.6450,47.7600,1503980
2019-12-16,47.9500,48.0100,47.5900,47.9600,1364774
2019-12-13,47.5900,48.1450,47.5650,47.8600,1313176
2019-12-12,47.9000,48.1200,47.5900,47.7100,1466860
2019-12-11,48.4200,48.4550,47.9100,47.9800,1980401
2019-12-10,48.1200,48.8000,47.9520,48.3900,2179619
2019-12-09,47.7500,48.3200,47.7000,48.2400,2243285
2019-12-06,47.8300,48.3050,47.6200,47.7500,2378176
2019-12-05,48.5100,48.9300,47.5800,47.6300,4524647
2019-12-04,47.4900,48.8900,47.4900,48.4700,5655679
2019-12-03,46.9600,47.8500,46.8300,47.5800,4921296
2019-12-02,46.4700,47.1600,46.1500,47.1400,2485485
2019-11-29,46.9800,47.0100,46.4050,46.5700,1140185
2019-11-27,47.2700,47.7100,46.9500,47.0600,1742043
